STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,UNIT_MEASURE,Unité de mesure,TRANSFORMATION,Transformation,ADJUSTMENT,Ajustement,SEX,Sexe,AGE,Âge,ACTIVITY,Activité économique,FREQ,Fréquence d'observation,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,BASE_PER,Période de base,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,DECIMALS,Décimales
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,KOR,Corée,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2014,,2457.8,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,KOR,Corée,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2015,,2594.592,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,KOR,Corée,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2016,,2766.208,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,KOR,Corée,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2017,,2938.017,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,KOR,Corée,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2018,,3025.308,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,KOR,Corée,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2019,,3057.575,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,KOR,Corée,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2020,,3100.292,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,KOR,Corée,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2021,,3137.425,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,KOR,Corée,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2022,,3247.375,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,KOR,Corée,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2023,,3291.125,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,KOR,Corée,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2024,,3319.767,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,KOR,Corée,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2025,,3318.142,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,RUS,Russie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2010,,4207.946,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,RUS,Russie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2011,,4410.354,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,RUS,Russie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2012,,4594.513,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,RUS,Russie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2013,,4575.091,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,RUS,Russie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2014,,4696.619,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,RUS,Russie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2015,,4945.691,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,RUS,Russie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2016,,5069.228,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,RUS,Russie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2017,,5171.995,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,RUS,Russie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2018,,5402.727,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,RUS,Russie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2019,,5419.744,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,RUS,Russie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2020,,5486.109,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,RUS,Russie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2021,,5741.363,,,,A,Valeur normale,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Population occupée par groupes d'age,I,LVA,Lettonie,EMP,Emploi,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,M,Sexe masculin,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2002,,56.725,,,,A,Valeur normale,3,Thousands,0,Zero
