"Zone de référence","Fréquence d'observation","Mesure","Unité de mesure","Activité economique","Classe de taille","Période temporelle","Country ISO3","Value","Statut d'observation","Statut d'observation 2","Statut d'observation 3","Multiplicateur d'unité","Time horizon","Décimales","V7 Breakdowns"
"Slovénie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2023","SVN","53.191500000000005","Valeur normale","","","Units","","Two","LARGE"
"Espagne","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2023","ESP","39.6552","Valeur normale","","","Units","","Two","LARGE"
"Türkiye","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2023","TUR","18.451600000000003","Valeur normale","","","Units","","Two","LARGE"
"Union européenne (27 pays)","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2023","EU27","30.4778","Valeur normale","","","Units","","Two","LARGE"
"OCDE","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2023","OECD","30.435072456431666","Valeur normale","","","Units","","Two","LARGE"
"Bulgarie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2023","BGR","13.7528","Valeur normale","","","Units","","Two","LARGE"
"Croatie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2023","HRV","19.2883","Valeur normale","","","Units","","Two","LARGE"
"Roumanie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2023","ROU","8.0771","Valeur normale","","","Units","","Two","LARGE"
"Australie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2022","AUS","11.03","Valeur normale","","","Units","","Two","LARGE"
"Canada","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2021","CAN","22.6","Valeur normale","","","Units","","Two","LARGE"
"Canada","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2023","CAN","25.8","Valeur normale","","","Units","","Two","LARGE"
"Nouvelle-Zélande","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2022","NZL","27.97913613","Valeur normale","","","Units","","Two","LARGE"
"Australie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2020","AUS","14.28","Valeur normale","","","Units","","Two","LARGE"
"Colombie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2020","COL","21.03030303","Valeur normale","","","Units","","Two","LARGE"
"Israël","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2020","ISR","10.85741297","Valeur normale","","","Units","","Two","LARGE"
"Corée","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2019","KOR","15.846407726462184","Valeur normale","","","Units","","Two","LARGE"
"Corée","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2020","KOR","20.086064598891554","Valeur normale","","","Units","","Two","LARGE"
"Corée","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2021","KOR","21.37388680580469","Valeur normale","","","Units","","Two","LARGE"
"Corée","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2023","KOR","63.27","Valeur normale","","","Units","","Two","LARGE"
"Brésil","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2021","BRA","21.77","Valeur normale","","","Units","","Two","LARGE"
"Brésil","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2023","BRA","40.78","Valeur normale","","","Units","","Two","LARGE"
"Brésil","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2024","BRA","38.17","Valeur normale","","","Units","","Two","LARGE"
"Autriche","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","AUT","68.2565","Valeur normale","","","Units","","Two","LARGE"
"Belgique","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","BEL","76.4127","Valeur normale","","","Units","","Two","LARGE"
"Tchéquie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","CZE","54.0995","Valeur normale","","","Units","","Two","LARGE"
"Danemark","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","DNK","74.5164","Valeur normale","","","Units","","Two","LARGE"
"Estonie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","EST","52.9032","Valeur normale","","","Units","","Two","LARGE"
"Finlande","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","FIN","79.402","Valeur normale","","","Units","","Two","LARGE"
"France","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","FRA","58.009699999999995","Valeur normale","","","Units","","Two","LARGE"
"Allemagne","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","DEU","56.9906","Valeur normale","","","Units","","Two","LARGE"
"Grèce","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","GRC","37.5845","Valeur normale","","","Units","","Two","LARGE"
"Hongrie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","HUN","39.9931","Valeur normale","","","Units","","Two","LARGE"
"Irlande","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","IRL","57.26520000000001","Valeur normale","","","Units","","Two","LARGE"
"Italie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","ITA","53.0918","Valeur normale","","","Units","","Two","LARGE"
"Lettonie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","LVA","47.0852","Valeur normale","","","Units","","Two","LARGE"
"Lituanie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","LTU","51.754400000000004","Valeur normale","","","Units","","Two","LARGE"
"Luxembourg","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","LUX","57.9701","Valeur normale","","","Units","","Two","LARGE"
"Pays-Bas","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","NLD","67.6412","Valeur normale","","","Units","","Two","LARGE"
"Norvège","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","NOR","66.0403","Valeur normale","","","Units","","Two","LARGE"
"Pologne","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","POL","45.8088","Valeur normale","","","Units","","Two","LARGE"
"Portugal","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","PRT","49.1485","Valeur normale","","","Units","","Two","LARGE"
"République slovaque","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","SVK","43.7385","Valeur normale","","","Units","","Two","LARGE"
"Slovénie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","SVN","71.7419","Valeur normale","","","Units","","Two","LARGE"
"Espagne","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","ESP","57.4624","Valeur normale","","","Units","","Two","LARGE"
"Suède","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","SWE","71.86580000000001","Valeur normale","","","Units","","Two","LARGE"
"Türkiye","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","TUR","23.473399999999998","Valeur normale","","","Units","","Two","LARGE"
"Union européenne (27 pays)","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","EU27","55.029700000000005","Valeur normale","","","Units","","Two","LARGE"
"Bulgarie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","BGR","26.178800000000003","Valeur normale","","","Units","","Two","LARGE"
"Croatie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","HRV","39.568999999999996","Valeur normale","","","Units","","Two","LARGE"
"Roumanie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","250 ou plus","2025","ROU","20.7503","Valeur normale","","","Units","","Two","LARGE"
"Canada","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2021","CAN","3.6","Valeur normale","","","Units","","Two","SMALL"
"Canada","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","CAN","7.5","Valeur normale","","","Units","","Two","SMALL"
"Colombie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","COL","4.278416347","Valeur normale","","","Units","","Two","SMALL"
"Israël","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","ISR","3.16389747","Valeur normale","","","Units","","Two","SMALL"
"Nouvelle-Zélande","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2022","NZL","7.651051792","Valeur normale","","","Units","","Two","SMALL"
"Australie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","AUS","2.54","Valeur normale","","","Units","","Two","SMALL"
"Australie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2022","AUS","3.13","Valeur normale","","","Units","","Two","SMALL"
"Corée","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2019","KOR","1.7242648696866956","Valeur normale","","","Units","","Two","SMALL"
"Corée","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","KOR","1.8735270499348113","Valeur normale","","","Units","","Two","SMALL"
"Corée","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2021","KOR","1.9454290510347232","Valeur normale","","","Units","","Two","SMALL"
"Corée","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","KOR","27.43","Valeur normale","","","Units","","Two","SMALL"
"Brésil","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2021","BRA","11.23","Valeur normale","","","Units","","Two","SMALL"
"Brésil","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","BRA","10.94","Valeur normale","","","Units","","Two","SMALL"
"Brésil","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2024","BRA","10.3","Valeur normale","","","Units","","Two","SMALL"
"Autriche","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","AUT","26.179799999999997","Valeur normale","","","Units","","Two","SMALL"
"Belgique","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","BEL","28.8234","Valeur normale","","","Units","","Two","SMALL"
"Tchéquie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","CZE","13.3799","Valeur normale","","","Units","","Two","SMALL"
"Danemark","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","DNK","37.4533","Valeur normale","","","Units","","Two","SMALL"
"Estonie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","EST","20.7371","Valeur normale","","","Units","","Two","SMALL"
"Finlande","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","FIN","33.5062","Valeur normale","","","Units","","Two","SMALL"
"France","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","FRA","15.044699999999999","Valeur normale","","","Units","","Two","SMALL"
"Allemagne","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","DEU","23.0562","Valeur normale","","","Units","","Two","SMALL"
"Grèce","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","GRC","7.3251","Valeur normale","","","Units","","Two","SMALL"
"Hongrie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","HUN","8.6977","Valeur normale","","","Units","","Two","SMALL"
"Irlande","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","IRL","16.7485","Valeur normale","","","Units","","Two","SMALL"
"Italie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","ITA","14.2321","Valeur normale","","","Units","","Two","SMALL"
"Lettonie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","LVA","9.7685","Valeur normale","","","Units","","Two","SMALL"
"Lituanie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","LTU","18.0554","Valeur normale","","","Units","","Two","SMALL"
"Luxembourg","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","LUX","30.476599999999998","Valeur normale","","","Units","","Two","SMALL"
"Norvège","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","NOR","25.1963","Valeur normale","","","Units","","Two","SMALL"
"Pologne","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","POL","5.7916","Valeur normale","","","Units","","Two","SMALL"
"Portugal","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","PRT","9.432699999999999","Valeur normale","","","Units","","Two","SMALL"
"République slovaque","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","SVK","15.592500000000001","Valeur normale","","","Units","","Two","SMALL"
"Slovénie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","SVN","18.2885","Valeur normale","","","Units","","Two","SMALL"
"Espagne","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","ESP","17.174500000000002","Valeur normale","","","Units","","Two","SMALL"
"Suède","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","SWE","30.7408","Valeur normale","","","Units","","Two","SMALL"
"Türkiye","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","TUR","6.5538","Valeur normale","","","Units","","Two","SMALL"
"Union européenne (27 pays)","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","EU27","17.0002","Valeur normale","","","Units","","Two","SMALL"
"Bulgarie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","BGR","7.1741","Valeur normale","","","Units","","Two","SMALL"
"Croatie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","HRV","12.7673","Valeur normale","","","Units","","Two","SMALL"
"Roumanie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2025","ROU","4.1288","Valeur normale","","","Units","","Two","SMALL"
"Autriche","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","AUT","8.9428","Valeur normale","","","Units","","Two","SMALL"
"Belgique","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","BEL","10.6052","Valeur normale","","","Units","","Two","SMALL"
"Tchéquie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","CZE","4.001799999999999","Valeur normale","","","Units","","Two","SMALL"
"Danemark","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","DNK","12.3681","Valeur normale","","","Units","","Two","SMALL"
"Estonie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","EST","4.1193","Valeur normale","","","Units","","Two","SMALL"
"Finlande","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","FIN","11.476899999999999","Valeur normale","","","Units","","Two","SMALL"
"Allemagne","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","DEU","9.683300000000001","Valeur normale","","","Units","","Two","SMALL"
"Grèce","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","GRC","3.5353000000000003","Valeur normale","","","Units","","Two","SMALL"
"Hongrie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","HUN","2.9792","Valeur normale","","","Units","","Two","SMALL"
"Irlande","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","IRL","5.2668","Valeur normale","","","Units","","Two","SMALL"
"Italie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","ITA","4.3642","Valeur normale","","","Units","","Two","SMALL"
"Lettonie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","LVA","3.4663","Valeur normale","","","Units","","Two","SMALL"
"Lituanie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","LTU","3.4039","Valeur normale","","","Units","","Two","SMALL"
"Luxembourg","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","LUX","12.2615","Valeur normale","","","Units","","Two","SMALL"
"Pays-Bas","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","NLD","11.747499999999999","Valeur normale","","","Units","","Two","SMALL"
"Norvège","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","NOR","7.1308","Valeur normale","","","Units","","Two","SMALL"
"Pologne","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","POL","2.2496","Valeur normale","","","Units","","Two","SMALL"
"Portugal","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","PRT","5.7739","Valeur normale","","","Units","","Two","SMALL"
"République slovaque","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","SVK","5.9511","Valeur normale","","","Units","","Two","SMALL"
"Slovénie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","SVN","8.881400000000001","Valeur normale","","","Units","","Two","SMALL"
"Espagne","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","ESP","6.388199999999999","Valeur normale","","","Units","","Two","SMALL"
"Türkiye","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","TUR","4.9481","Valeur normale","","","Units","","Two","SMALL"
"Union européenne (27 pays)","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","EU27","6.4094","Valeur normale","","","Units","","Two","SMALL"
"OCDE","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","OECD","7.054247206239283","Valeur normale","","","Units","","Two","SMALL"
"Bulgarie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","BGR","2.9615","Valeur normale","","","Units","","Two","SMALL"
"Croatie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","HRV","6.9765","Valeur normale","","","Units","","Two","SMALL"
"Roumanie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2023","ROU","1.0741","Valeur normale","","","Units","","Two","SMALL"
"Autriche","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","AUT","3.0359000000000003","Valeur normale","","","Units","","Two","SMALL"
"Belgique","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","BEL","4.2233","Valeur normale","","","Units","","Two","SMALL"
"Tchéquie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","CZE","4.5583","Valeur normale","","","Units","","Two","SMALL"
"Danemark","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","DNK","7.8517","Valeur normale","","","Units","","Two","SMALL"
"Estonie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","EST","3.9783","Valeur normale","","","Units","","Two","SMALL"
"Finlande","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","FIN","8.0655","Valeur normale","","","Units","","Two","SMALL"
"France","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","FRA","4.0899","Valeur normale","","","Units","","Two","SMALL"
"Allemagne","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","DEU","4.6189","Valeur normale","","","Units","","Two","SMALL"
"Hongrie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","HUN","2.7499","Valeur normale","","","Units","","Two","SMALL"
"Irlande","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","IRL","18.2575","Valeur normale","","","Units","","Two","SMALL"
"Italie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","ITA","6.626899999999999","Valeur normale","","","Units","","Two","SMALL"
"Lettonie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","LVA","1.7003000000000001","Valeur normale","","","Units","","Two","SMALL"
"Lituanie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","LTU","6.459","Valeur normale","","","Units","","Two","SMALL"
"Luxembourg","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","LUX","3.8787000000000003","Valeur normale","","","Units","","Two","SMALL"
"Pays-Bas","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","NLD","3.1106000000000003","Valeur normale","","","Units","","Two","SMALL"
"Norvège","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","NOR","4.0624","Valeur normale","","","Units","","Two","SMALL"
"Pologne","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","POL","3.6445","Valeur normale","","","Units","","Two","SMALL"
"Portugal","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","PRT","7.3123","Valeur normale","","","Units","","Two","SMALL"
"République slovaque","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","SVK","4.7495","Valeur normale","","","Units","","Two","SMALL"
"Slovénie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","SVN","1.2608","Valeur normale","","","Units","","Two","SMALL"
"Espagne","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","ESP","6.5268999999999995","Valeur normale","","","Units","","Two","SMALL"
"Suède","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","SWE","5.9918","Valeur normale","","","Units","","Two","SMALL"
"Türkiye","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","TUR","5.1981","Valeur normale","","","Units","","Two","SMALL"
"Royaume-Uni","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","GBR","3.7024","Valeur normale","","","Units","","Two","SMALL"
"Union européenne (27 pays)","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","EU27","5.1681","Valeur normale","","","Units","","Two","SMALL"
"OCDE","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","De 10 à 49","2020","OECD","4.735059120247963","Valeur normale","","","Units","","Two","SMALL"
