STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,UNIT_MEASURE,Unité de measure,PAY_PERIOD,Période de paie,PRICE_BASE,Type de prix,AGGREGATION_OPERATION,Opération d'agrégation,SEX,Sexe,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,BASE_PER,Période de base,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,DECIMALS,Décimales
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUS,Australie,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2017,,69579.169,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUS,Australie,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2018,,69832.234,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUS,Australie,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2019,,70501.846,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUS,Australie,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2020,,71915.394,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUS,Australie,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2021,,72716.686,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUS,Australie,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2022,,71109.992,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUS,Australie,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2023,,70422.098,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUS,Australie,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2024,,70736.187,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2000,,66028.413,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2001,,65828.646,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2002,,66825.091,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2003,,66979.313,,2024,,A,Valeur normale,0,Units,0,Zero
